,A3C_T_MAX,LEARNING_RATE,DISCOUNT_FACTOR,GRADIENT_CLIP,ENTROPY_TERM_STRENGTH,ADAM_EPS,REWARD_SCALE,WMG_MAX_MEMOS,WMG_MEMO_SIZE,WMG_NUM_LAYERS,WMG_NUM_ATTENTION_HEADS,WMG_ATTENTION_HEAD_SIZE,WMG_HIDDEN_SIZE,AC_HIDDEN_LAYER_SIZE,Original-SR,NAP-SR
55,96,-9.672375831572742,-0.05129329438755058,1.3862943611198906,-2.995712273753988,-4.605170185988091,2.772588722239781,12,3.8066624897703196,7,8,5.545177444479562,6.238324625039508,6.579251212010101,0.3355,0.3688
56,6,-9.672375831572742,-0.35667494393873245,6.238324625039508,-3.9119730066781044,-23.025850929940457,4.1588830833596715,12,5.886104031450156,7,20,3.4657359027997265,3.4657359027997265,8.658692753689937,0.8262,0.9799
57,12,-11.974960924566787,-0.10536051565782628,5.545177444479562,-4.6050701909877585,-18.420680743952367,4.852030263919617,20,6.931471805599453,7,8,2.0794415416798357,4.1588830833596715,8.658692753689937,0.8259,0.6967
58,24,-11.512925464970229,-0.01005033585350145,2.772588722239781,-2.995712273753988,-13.815510557964274,2.0794415416798357,6,6.579251212010101,12,6,4.852030263919617,1.791759469228055,6.931471805599453,0.3567,0.4873
59,10,-11.974960924566787,-0.2231435513142097,4.852030263919617,-1.6094329124466003,-23.025850929940457,0.6931471805599453,12,6.931471805599453,12,12,4.499809670330265,5.950642552587727,4.1588830833596715,0.3648,0.3311
60,3,-10.596634733096073,-0.2231435513142097,4.852030263919617,-4.6050701909877585,-13.815510557964274,4.852030263919617,8,5.886104031450156,9,16,3.871201010907891,3.871201010907891,7.965545573129992,0.9598,0.9978
61,96,-10.126631103850338,-0.05129329438755058,5.545177444479562,-3.9119730066781044,-13.815510557964274,1.3862943611198906,4,3.8066624897703196,12,4,3.871201010907891,2.0794415416798357,7.965545573129992,0.9941,0.0
62,96,-11.512925464970229,-0.2231435513142097,2.772588722239781,-1.6094329124466003,-13.815510557964274,4.852030263919617,16,6.579251212010101,5,2,3.1780538303479458,3.1780538303479458,5.19295685089021,0.3355,0.3399
63,28,-11.512925464970229,-0.10536051565782628,0.6931471805599453,-5.29811738654537,-13.815510557964274,-1.3862943611198906,1,6.238324625039508,5,3,5.545177444479562,6.238324625039508,8.317766166719343,0.7572,0.4358
64,56,-11.974960924566787,-0.6931471805599453,6.931471805599453,-3.9119730066781044,-18.420680743952367,3.4657359027997265,12,5.19295685089021,3,1,3.4657359027997265,6.238324625039508,6.579251212010101,0.3988,0.4024
65,4,-11.974960924566787,-0.020202707317519466,5.545177444479562,-6.21410822338054,-23.025850929940457,-1.3862943611198906,3,4.1588830833596715,13,20,3.4657359027997265,2.0794415416798357,5.19295685089021,0.9716,0.3311
66,4,-8.740336742730447,-0.020202707317519466,6.931471805599453,-4.6050701909877585,-23.025850929940457,2.772588722239781,12,5.886104031450156,5,20,4.1588830833596715,3.1780538303479458,7.272398392570047,0.5097,0.6553
67,2,-8.294049640102028,-0.5108256237659907,2.772588722239781,-4.6050701909877585,-13.815510557964274,-0.6931471805599453,3,4.499809670330265,3,16,2.4849066497880004,2.4849066497880004,4.1588830833596715,0.6517,0.9902
68,40,-9.210340371976182,-0.0020020026706730793,5.545177444479562,-3.9119730066781044,-4.605170185988091,0.6931471805599453,6,7.272398392570047,5,12,2.4849066497880004,5.2574953720277815,5.19295685089021,0.4261,0.5388
69,16,-7.824046010856292,-0.0020020026706730793,7.6246189861593985,-4.6050701909877585,-18.420680743952367,-0.6931471805599453,16,4.499809670330265,11,3,3.4657359027997265,6.238324625039508,4.852030263919617,0.4511,0.5121
70,3,-12.429216196844383,-0.35667494393873245,3.4657359027997265,-3.9119730066781044,-18.420680743952367,-0.6931471805599453,12,7.272398392570047,5,10,3.4657359027997265,4.564348191467836,6.931471805599453,0.3952,0.3727
71,56,-9.210340371976182,-0.5108256237659907,6.931471805599453,-13.815510557964274,-18.420680743952367,2.0794415416798357,20,4.852030263919617,1,2,3.1780538303479458,5.2574953720277815,8.658692753689937,0.9993,0.9986
72,120,-8.294049640102028,-0.6931471805599453,7.6246189861593985,-3.9119730066781044,-23.025850929940457,-1.3862943611198906,3,5.886104031450156,9,12,3.4657359027997265,2.4849066497880004,7.272398392570047,0.3841,0.0
73,40,-7.824046010856292,-0.01005033585350145,1.3862943611198906,-1.6094329124466003,-13.815510557964274,2.772588722239781,8,5.19295685089021,11,2,2.772588722239781,3.4657359027997265,6.238324625039508,0.3311,0.7003
74,56,-10.596634733096073,-0.020202707317519466,6.238324625039508,-13.815510557964274,-18.420680743952367,-0.6931471805599453,8,4.852030263919617,6,2,6.238324625039508,3.871201010907891,8.658692753689937,0.9926,0.9904
75,64,-12.429216196844383,-0.005012541823544286,5.545177444479562,-2.3025750930440454,-4.605170185988091,0.6931471805599453,16,5.19295685089021,10,12,5.545177444479562,4.1588830833596715,8.317766166719343,0.3221,0.3176
76,2,-11.042921835724492,-0.10536051565782628,6.238324625039508,-5.29811738654537,-13.815510557964274,3.4657359027997265,12,3.8066624897703196,1,20,6.238324625039508,2.772588722239781,7.965545573129992,0.9707,0.816
77,8,-10.596634733096073,-0.005012541823544286,0.6931471805599453,-2.3025750930440454,-4.605170185988091,0.6931471805599453,2,5.886104031450156,2,3,4.499809670330265,5.545177444479562,5.545177444479562,0.3176,0.3484
78,64,-10.596634733096073,-0.020202707317519466,5.545177444479562,-1.6094329124466003,-9.210340371976182,3.4657359027997265,16,4.1588830833596715,7,4,5.19295685089021,4.564348191467836,7.965545573129992,0.815,0.992
79,6,-11.974960924566787,-0.10536051565782628,4.852030263919617,-2.995712273753988,-23.025850929940457,1.3862943611198906,1,4.852030263919617,12,6,5.19295685089021,4.852030263919617,7.6246189861593985,0.9984,0.5409
80,56,-11.512925464970229,-0.01005033585350145,6.238324625039508,-1.6094329124466003,-13.815510557964274,2.0794415416798357,16,7.6246189861593985,9,10,4.499809670330265,3.4657359027997265,8.658692753689937,0.3879,0.6024
81,10,-11.042921835724492,-0.0020020026706730793,4.852030263919617,-4.6050701909877585,-18.420680743952367,-1.3862943611198906,8,7.272398392570047,8,10,4.1588830833596715,5.2574953720277815,8.317766166719343,0.4925,0.6406
82,6,-9.210340371976182,-0.6931471805599453,2.0794415416798357,-2.995712273753988,-4.605170185988091,3.4657359027997265,2,6.238324625039508,8,1,5.886104031450156,2.4849066497880004,6.238324625039508,0.813,0.3567
83,6,-11.974960924566787,-0.01005033585350145,3.4657359027997265,-2.995712273753988,-23.025850929940457,2.772588722239781,2,5.19295685089021,11,16,4.1588830833596715,3.4657359027997265,7.6246189861593985,0.9826,0.528
84,56,-8.740336742730447,-0.6931471805599453,6.931471805599453,-6.21410822338054,-9.210340371976182,1.3862943611198906,4,7.272398392570047,2,10,2.4849066497880004,5.950642552587727,7.6246189861593985,0.9971,0.9924
85,4,-9.210340371976182,-0.35667494393873245,3.4657359027997265,-13.815510557964274,-4.605170185988091,2.0794415416798357,1,4.852030263919617,6,8,4.1588830833596715,2.4849066497880004,5.19295685089021,1.0,0.9919
86,64,-9.672375831572742,-0.0020020026706730793,7.6246189861593985,-5.29811738654537,-9.210340371976182,0.0,2,6.579251212010101,7,20,5.545177444479562,2.772588722239781,6.579251212010101,0.2837,0.0
87,120,-11.512925464970229,-0.2231435513142097,5.545177444479562,-3.9119730066781044,-18.420680743952367,1.3862943611198906,1,7.6246189861593985,8,6,5.545177444479562,4.564348191467836,4.852030263919617,0.9836,0.0
88,3,-9.210340371976182,-0.05129329438755058,6.931471805599453,-3.9119730066781044,-27.631021115928547,2.772588722239781,6,5.886104031450156,5,4,4.1588830833596715,6.238324625039508,6.579251212010101,0.8499,0.9978
89,4,-11.042921835724492,-0.020202707317519466,6.931471805599453,-2.995712273753988,-23.025850929940457,1.3862943611198906,6,3.4657359027997265,11,10,3.4657359027997265,1.791759469228055,7.272398392570047,0.9904,0.9841
90,2,-8.294049640102028,-0.01005033585350145,3.4657359027997265,-4.6050701909877585,-23.025850929940457,2.0794415416798357,4,6.931471805599453,4,20,3.4657359027997265,5.2574953720277815,8.317766166719343,0.5531,0.3221
91,6,-7.824046010856292,-0.5108256237659907,7.6246189861593985,-13.815510557964274,-13.815510557964274,3.4657359027997265,1,6.579251212010101,6,3,2.4849066497880004,3.1780538303479458,5.886104031450156,0.9984,0.7437
